: capital-common-countries
sim-word  sim-value
Iraqi    0.635187029838562
Thailand    0.7137669920921326
China    0.7235777378082275
Germany    0.673462450504303
Switzerland    0.4919748306274414
Egypt    0.7527808547019958
Australia    0.5837326049804688
Viet_Nam    0.6276342272758484
Cuba    0.6460990905761719
Finland    0.6899983286857605
Pakistan    0.7233325839042664
Afghan    0.6160915493965149
Britain    0.5646187663078308
Spain    0.7036614418029785
Russia    0.7382972240447998
Norway    0.6470743417739868
Canada    0.5912168622016907
France    0.672462522983551
Italy    0.6826189756393433
Sweden    0.6757242679595947
Iran    0.7671369314193726
Japan    0.725609540939331
Thailand    0.6745353937149048
China    0.6915647983551025
Germany    0.6057409644126892
coach_Bobby_Curlings    0.4347156584262848
Egypt    0.684848964214325
Mr_Rudd    0.6186109185218811
Vietnam    0.7493553757667542
Cuba    0.7133256196975708
Finland    0.597256064414978
Pakistan    0.7466937303543091
Afghanistan    0.8359358906745911
Britain    0.5853632092475891
Spain    0.6144677996635437
Russia    0.7236211895942688
Norway    0.5987578630447388
Prime_Minister_Jean_Chrétien    0.5704856514930725
France    0.6203721761703491
Italy    0.5362657904624939
Sweden    0.5907801985740662
Iran    0.8114985227584839
Japan    0.7056294679641724
Greece    0.5793530344963074
China    0.8263984322547913
Germany    0.729519784450531
Switzerland    0.5047770738601685
Egypt    0.8118714094161987
Australia    0.7154911756515503
Viet_Nam    0.7700591683387756
Cuba    0.8007405996322632
Finland    0.7515275478363037
Pakistan    0.7976752519607544
Afghanistan    0.6666890382766724
Britain    0.6576253175735474
Spain    0.7655300498008728
Russia    0.8613656163215637
Norway    0.7142738103866577
Canada    0.6684818863868713
France    0.7388159036636353
Italy    0.6863129734992981
Sweden    0.7587180137634277
Iran    0.8363438248634338
Japan    0.8282637596130371
Greece    0.6765021681785583
Iraqi    0.6885136365890503
Germany    0.7232259511947632
Bern_NC    0.4655817151069641
Egypt    0.7653075456619263
Australia    0.7234393954277039
Viet_Nam    0.7793148159980774
Cuba    0.7189655900001526
Finland    0.7141392827033997
Pakistan    0.806240439414978
Afghan    0.6770888566970825
UK    0.6304796934127808
Spain    0.7320306301116943
Russia    0.8579801321029663
Norway    0.6628976464271545
Canada    0.6537172198295593
France    0.7109121084213257
Italy    0.6637485027313232
Sweden    0.7026645541191101
Iran    0.8262744545936584
Japan    0.823669970035553
Greece    0.6515147686004639
Mosul    0.7041884660720825
Thailand    0.8047245740890503
Switzerland    0.6095317602157593
Egypt    0.6912307739257812
Australia    0.7485095858573914
Viet_Nam    0.6875088810920715
Cuba    0.6961181163787842
Finland    0.7654491662979126
Pakistan    0.7597626447677612
Afghan    0.6450541019439697
UK    0.6597432494163513
Spain    0.7768210172653198
Russia    0.810738205909729
Norway    0.7291737198829651
Canada    0.6773227453231812
France    0.7884094715118408
Italy    0.7509608268737793
Sweden    0.8022657632827759
Iran    0.7747757434844971
Japan    0.7969786524772644
Greece    0.6390470862388611
Mosul    0.686406135559082
Thailand    0.768083393573761
China    0.7755852937698364
Egypt    0.5989274978637695
Australia    0.6860505938529968
Viet_Nam    0.5609369874000549
Cuba    0.6295959949493408
Finland    0.6637657880783081
Pakistan    0.6708025336265564
Afghanistan    0.5338183641433716
EURASIAN_NATURAL_RESOURCES_CORP.    0.5463826060295105
Spain    0.6423718333244324
Russia    0.6487589478492737
Norway    0.6448377966880798
Canada    0.6468111872673035
France    0.6129554510116577
Italy    0.6486325860023499
Sweden    0.6849664449691772
Iran    0.6813834309577942
Japan    0.6434274911880493
Greece    0.5800100564956665
Iraqi    0.5730240345001221
Thailand    0.6617313623428345
China    0.6225298643112183
Germany    0.7138351202011108
Australia    0.6811555027961731
Viet_Nam    0.7589390873908997
Cuba    0.763901948928833
Finland    0.7256740927696228
Pakistan    0.8155921101570129
Afghan    0.6829640865325928
Britain    0.6454266905784607
Spain    0.7469130754470825
Russia    0.842657208442688
Norway    0.6975642442703247
Canada    0.6659148335456848
France    0.7114198803901672
Italy    0.6812829971313477
Sweden    0.7365163564682007
Iran    0.8531844019889832
Japan    0.7753520011901855
Greece    0.7355356216430664
Iraqi    0.7208045125007629
Thailand    0.8275743126869202
China    0.8066044449806213
Germany    0.7016906142234802
Switzerland    0.49304065108299255
Viet_Nam    0.6714490652084351
Cuba    0.6964417695999146
Finland    0.6906550526618958
Pakistan    0.7743954658508301
Afghans    0.585472047328949
UK    0.6224532723426819
Spain    0.7410277724266052
Russia    0.7891087532043457
Norway    0.670374870300293
Canada    0.7492120265960693
France    0.7159997820854187
Italy    0.6639474034309387
Sweden    0.7069719433784485
Iran    0.7551096677780151
Japan    0.7584798336029053
Greece    0.5700703263282776
Mosul    0.6397026777267456
Thailand    0.7358658909797668
China    0.7823367118835449
Germany    0.7441057562828064
Switzerland    0.5360245108604431
Egypt    0.6859405636787415
Cuba    0.68318110704422
Finland    0.5732651948928833
Pakistan    0.7073385715484619
Afghanistan    0.7566174864768982
Britain    0.5320746302604675
Spain    0.6318689584732056
Russia    0.6925882697105408
